I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:187.000000, st:250.000000, x_swing:1253.439159, x_support:-1218.439159, z:70.879614
D/GAIT            []  SWING t:188.000000, st:250.000000, x_swing:1258.966137, x_support:-1223.966137, z:69.120368
D/GAIT            []  SWING t:189.000000, st:250.000000, x_swing:1264.354226, x_support:-1229.354226, z:67.361678
D/GAIT            []  SWING t:190.000000, st:250.000000, x_swing:1269.603512, x_support:-1234.603512, z:65.604654
D/GAIT            []  SWING t:191.000000, st:250.000000, x_swing:1274.714171, x_support:-1239.714171, z:63.850407
D/GAIT            []  SWING t:192.000000, st:250.000000, x_swing:1279.686467, x_support:-1244.686467, z:62.100044
D/GAIT            []  SWING t:193.000000, st:250.000000, x_swing:1284.520749, x_support:-1249.520749, z:60.354670
D/GAIT            []  SWING t:194.000000, st:250.000000, x_swing:1289.217455, x_support:-1254.217455, z:58.615389
D/GAIT            []  SWING t:195.000000, st:250.000000, x_swing:1293.777110, x_support:-1258.777110, z:56.883299
D/GAIT            []  SWING t:196.000000, st:250.000000, x_swing:1298.200324, x_support:-1263.200324, z:55.159493
D/GAIT            []  SWING t:197.000000, st:250.000000, x_swing:1302.487795, x_support:-1267.487795, z:53.445061
D/GAIT            []  SWING t:198.000000, st:250.000000, x_swing:1306.640305, x_support:-1271.640305, z:51.741085
D/GAIT            []  SWING t:199.000000, st:250.000000, x_swing:1310.658724, x_support:-1275.658724, z:50.048642
D/GAIT            []  SWING t:200.000000, st:250.000000, x_swing:1314.544002, x_support:-1279.544002, z:48.368801
D/GAIT            []  SWING t:201.000000, st:250.000000, x_swing:1318.297178, x_support:-1283.297178, z:46.702623
D/GAIT            []  SWING t:202.000000, st:250.000000, x_swing:1321.919373, x_support:-1286.919373, z:45.051159
D/GAIT            []  SWING t:203.000000, st:250.000000, x_swing:1325.411788, x_support:-1290.411788, z:43.415454
D/GAIT            []  SWING t:204.000000, st:250.000000, x_swing:1328.775709, x_support:-1293.775709, z:41.796540
D/GAIT            []  SWING t:205.000000, st:250.000000, x_swing:1332.012502, x_support:-1297.012502, z:40.195441
D/GAIT            []  SWING t:206.000000, st:250.000000, x_swing:1335.123614, x_support:-1300.123614, z:38.613166
D/GAIT            []  SWING t:207.000000, st:250.000000, x_swing:1338.110571, x_support:-1303.110571, z:37.050716
D/GAIT            []  SWING t:208.000000, st:250.000000, x_swing:1340.974977, x_support:-1305.974977, z:35.509077
D/GAIT            []  SWING t:209.000000, st:250.000000, x_swing:1343.718513, x_support:-1308.718513, z:33.989224
D/GAIT            []  SWING t:210.000000, st:250.000000, x_swing:1346.342939, x_support:-1311.342939, z:32.492116
D/GAIT            []  SWING t:211.000000, st:250.000000, x_swing:1348.850086, x_support:-1313.850086, z:31.018698
D/GAIT            []  SWING t:212.000000, st:250.000000, x_swing:1351.241863, x_support:-1316.241863, z:29.569902
D/GAIT            []  SWING t:213.000000, st:250.000000, x_swing:1353.520250, x_support:-1318.520250, z:28.146643
D/GAIT            []  SWING t:214.000000, st:250.000000, x_swing:1355.687299, x_support:-1320.687299, z:26.749819
D/GAIT            []  SWING t:215.000000, st:250.000000, x_swing:1357.745132, x_support:-1322.745132, z:25.380313
